,Unnamed: 0,ICAO,Year,Departures,Arrivals,Longitude,Latitude,Name
49,49,EIKN,2020,890,,-8.81849,53.910301,Ireland West Knock Airport
50,50,EIKY,2020,1417,,-9.52378,52.180901,Kerry Airport
51,51,EINN,2020,4586,,-8.92482,52.702,Shannon Airport
52,52,EKCH,2020,49107,,12.65600014,55.61790085,Copenhagen Kastrup Airport
53,53,ELLX,2020,20187,,6.2044444,49.6233333,Luxembourg-Findel International Airport
54,54,ENAL,2020,4738,,6.1197,62.5625,"Ålesund Airport, Vigra"
55,55,ENAN,2020,1547,,16.144199,69.292503,"Andøya Airport, Andenes"
56,56,ENAT,2020,3624,,23.37170029,69.97609711,Alta Airport
57,57,ENBL,2020,1217,,5.75694,61.391102,"Førde Airport, Bringeland"
58,58,ENBN,2020,3008,,12.2175,65.461098,"Brønnøysund Airport, Brønnøy"
59,59,ENBO,2020,14865,,14.3653,67.269203,Bodø Airport
60,60,ENBR,2020,31327,,5.21814,60.2934,"Bergen Airport, Flesland"
61,61,ENBS,2020,1067,,29.69140053,70.60050201,Båtsfjord Airport
62,62,ENBV,2020,624,,29.034201,70.871399,Berlevåg Airport
63,63,ENCN,2020,4593,,8.08537,58.204201,"Kristiansand Airport, Kjevik"
64,64,ENDU,2020,1277,,18.54039955,69.05580139,Bardufoss Airport
65,65,ENEV,2020,3442,,16.67810059,68.49130249,"Harstad/Narvik Airport, Evenes"
66,66,ENFL,2020,3431,,5.024720192,61.58359909,Florø Airport
67,67,ENGM,2020,61281,,11.1004,60.193901,"Oslo Airport, Gardermoen"
68,68,ENHD,2020,1864,,5.20836,59.345299,"Haugesund Airport, Karmøy"
69,69,ENHF,2020,4533,,23.66860008,70.67970276,Hammerfest Airport
70,70,ENHV,2020,912,,25.983601,71.009697,"Honningsvåg Airport, Valan"
71,71,ENKB,2020,4643,,7.82452,63.111801,"Kristiansund Airport, Kvernberget"
72,72,ENKR,2020,3241,,29.8913,69.7258,"Kirkenes Airport, Høybuktmoen"
73,73,ENLK,2020,2607,,13.6093998,68.15249634,Leknes Airport
74,74,ENMH,2020,1109,,27.82670021,71.02970123,Mehamn Airport
75,75,ENML,2020,2039,,7.2625,62.744701,"Molde Airport, Årø"
76,76,ENNA,2020,1158,,24.973499,70.068802,"Lakselv Airport, Banak"
77,77,ENNM,2020,997,,11.5786,64.472198,Namsos Airport
78,78,ENOV,2020,1672,,6.074100018,62.18000031,"Ørsta-Volda Airport, Hovden"
79,79,ENRA,2020,1982,,14.30140018,66.36389923,"Mo i Rana Airport, Røssvoll"
80,80,ENRM,2020,966,,11.14610004,64.83830261,"Rørvik Airport, Ryum"
81,81,ENRO,2020,979,,11.34230042,62.57839966,Røros Airport
82,82,ENRS,2020,580,,12.10330009,67.52780151,Røst Airport
83,83,ENSB,2020,676,,15.46560001,78.24610138,"Svalbard Airport, Longyear"
84,84,ENSD,2020,951,,6.10583,61.830002,"Sandane Airport, Anda"
85,85,ENSG,2020,2424,,7.13778,61.156101,"Sogndal Airport, Haukåsen"
86,86,ENSH,2020,1377,,14.6692,68.243301,"Svolvær Airport, Helle"
87,87,ENSK,2020,1651,,15.033417,68.578827,"Stokmarknes Airport, Skagen"
88,88,ENSR,2020,694,,20.95940018,69.78679657,Sørkjosen Airport
89,89,ENSS,2020,816,,31.04490089,70.35540009,"Vardø Airport, Svartnes"
90,90,ENST,2020,1659,,12.4689,65.956802,"Sandnessjøen Airport, Stokka"
91,91,ENTC,2020,16522,,18.9189,69.683296,"Tromsø Airport, Langnes"
92,92,ENVA,2020,16818,,10.924,63.457802,"Trondheim Airport, Værnes"
93,93,ENVD,2020,3000,,29.84469986,70.06529999,Vadsø Airport
94,94,ENZV,2020,21213,,5.63778,58.876701,"Stavanger Airport, Sola"
95,95,EPBY,2020,1058,,17.977699,53.096802,Bydgoszcz Ignacy Jan Paderewski Airport
96,96,EPGD,2020,10817,,18.46619987,54.37760162,Gdańsk Lech Wałęsa Airport
97,97,EPKK,2020,13539,,19.7848,50.077702,Kraków John Paul II International Airport
98,98,EPKT,2020,8676,,19.08,50.4743,Katowice International Airport
99,99,EPLB,2020,844,,22.713611,51.240278,Lublin Airport
100,100,EPLL,2020,1177,,19.3980999,51.72190094,Łódź Władysław Reymont Airport
101,101,EPMO,2020,4335,,20.6518,52.451099,Modlin Airport
102,102,EPPO,2020,5424,,16.8263,52.421001,Poznań-Ławica Airport
103,103,EPRZ,2020,2014,,22.018999,50.110001,Rzeszów-Jasionka Airport
104,104,EPSC,2020,1616,,14.9022,53.584702,"Szczecin-Goleniów ""Solidarność"" Airport"
105,105,EPSY,2020,510,,20.9377,53.481899,Olsztyn-Mazury Airport
106,106,EPWA,2020,39921,,20.96710014,52.16569901,Warsaw Chopin Airport
107,107,EPWR,2020,6835,,16.885799,51.102699,Copernicus Wrocław Airport
108,108,ESGG,2020,12051,,12.27980042,57.66279984,Gothenburg-Landvetter Airport
109,109,ESSA,2020,43016,,17.91860008,59.65190125,Stockholm-Arlanda Airport
110,110,ESSB,2020,9324,,17.94169998,59.35440063,Stockholm-Bromma Airport
111,111,EVLA,2020,306,,21.09690094,56.51750183,Liepāja International Airport
112,112,EVRA,2020,17587,,23.9711,56.923599,Riga International Airport
113,113,EYKA,2020,2933,,24.08480072,54.96390152,Kaunas International Airport
114,114,EYPA,2020,1039,,21.09390068,55.97320175,Palanga International Airport
115,115,EYSA,2020,1439,,23.39500046,55.89390182,Šiauliai International Airport
116,116,EYVI,2020,10188,,25.285801,54.634102,Vilnius International Airport
117,117,GCFV,2020,11936,,-13.8638,28.4527,Fuerteventura Airport
118,118,GCGM,2020,784,,-17.2146,28.0296,La Gomera Airport
119,119,GCHI,2020,1871,,-17.8871,27.8148,El Hierro Airport
120,120,GCLA,2020,6525,,-17.7556,28.626499,La Palma Airport
121,121,GCLP,2020,32551,,-15.3866,27.9319,Gran Canaria Airport
122,122,GCRR,2020,14541,,-13.6052,28.945499,César Manrique-Lanzarote Airport
123,123,GCTS,2020,14085,,-16.5725,28.0445,Tenerife Sur Airport
124,124,GCXO,2020,21710,,-16.341499,28.4827,Tenerife Norte-Ciudad de La Laguna Airport
125,125,GEML,2020,2405,,-2.95626,35.2798,Melilla Airport
126,126,GMAD,2020,2967,,-9.412003,30.322478,Al Massira Airport
127,127,GMFF,2020,2104,,-4.97796,33.927299,Fes Saïss International Airport
128,128,GMME,2020,2774,,-6.75152,34.051498,Rabat-Salé Airport
129,129,GMMN,2020,17054,,-7.589970112,33.36750031,Mohammed V International Airport
130,130,GMMX,2020,6902,,-8.036299706,31.60689926,Menara Airport
131,131,GMTT,2020,3196,,-5.921459,35.731741,Tangier Ibn Battuta Airport
132,132,LATI,2020,7647,,19.72060013,41.41469955,Tirana International Airport Mother Teresa
133,133,LBSF,2020,17474,,23.41143608,42.69669342,Sofia Airport
